stop_id,stop_name,city,route_type,routes_serviced,flood_risk_category,access_to_hospital_category,job_access_category,worker_vulnerability_category,latitude,longitude
550593,58 ST/38 AV,nyc,Bus,['Q18'],2,0,2,1,40.748289,-73.905062
552952,58 ST/37 AV,nyc,Bus,['Q18'],2,0,2,1,40.750238,-73.904155
550594,58 ST/BROADWAY,nyc,Bus,['Q18'],2,0,1,1,40.751696,-73.903505
553044,109 AV/ROCKAWAY BL,nyc,Bus,['Q41'],1,0,1,0,40.678914,-73.833802
551540,109 AV/ROCKAWAY BL,nyc,Bus,['Q41'],1,0,1,0,40.678968,-73.834036
550136,ROCKAWAY BL/102 ST,nyc,Bus,"['Q41', 'Q07']",1,0,1,0,40.679819,-73.837991
550134,ROCKAWAY BL/109 AV,nyc,Bus,['Q07'],1,0,1,0,40.678886,-73.833861
552422,LIBERTY AV /105 ST,nyc,Bus,['Q112'],1,0,1,0,40.682396,-73.836389
552377,LIBERTY AV /102 ST,nyc,Bus,['Q112'],1,0,1,0,40.681321,-73.83882
552378,LIBERTY AV /104 ST,nyc,Bus,['Q112'],1,0,1,0,40.682029,-73.836716
553045,109 AV/110 ST,nyc,Bus,['Q41'],0,0,1,0,40.679956,-73.83009
551495,109 AV/108 ST,nyc,Bus,['Q41'],0,0,1,0,40.679637,-73.83164
550132,ROCKAWAY BL/109 ST,nyc,Bus,['Q07'],0,0,1,0,40.678131,-73.830254
552379,LIBERTY AV /106 ST,nyc,Bus,['Q112'],0,0,1,0,40.682904,-73.835064
552380,LIBERTY AV /108 ST,nyc,Bus,['Q112'],0,0,1,0,40.683696,-73.833489
553266,109 AV/113 ST,nyc,Bus,['Q41'],0,0,1,1,40.680836,-73.827066
553262,109 AV/116 ST,nyc,Bus,['Q41'],0,0,1,1,40.681546,-73.824986
553263,109 AV/113 ST,nyc,Bus,['Q41'],0,0,1,1,40.680918,-73.827112
552384,LIBERTY AV /113 ST,nyc,Bus,['Q112'],0,0,1,0,40.685432,-73.829187
552386,LIBERTY AV /116 ST,nyc,Bus,['Q112'],0,0,1,1,40.685808,-73.826617
553270,109 AV/124 ST,nyc,Bus,['Q41'],1,0,0,1,40.683517,-73.81768
550225,135 ST /111 AV,nyc,Bus,['Q09'],1,0,0,1,40.684505,-73.807991
550261,VAN WYCK EXP /111 AV,nyc,Bus,['Q09'],1,0,0,1,40.684625,-73.807199
553271,128 ST/109 AV,nyc,Bus,['Q41'],0,0,0,1,40.684473,-73.814758
551512,128 ST/107 AV,nyc,Bus,['Q41'],0,0,0,1,40.686407,-73.815696
551533,127 ST/109 AV,nyc,Bus,['Q41'],0,0,0,1,40.684228,-73.815752
553259,109 AV/124 ST,nyc,Bus,['Q41'],0,0,0,1,40.683455,-73.818244
551518,127 ST/97 AV,nyc,Bus,['Q41'],1,1,0,0,40.693267,-73.819737
551519,127 ST/95 AV,nyc,Bus,['Q41'],1,1,1,0,40.694253,-73.820238
551520,127 ST/95 AV,nyc,Bus,['Q41'],1,1,1,0,40.694218,-73.82037
503668,ATLANTIC AV/134 ST,nyc,Bus,"['Q41', 'Q24']",2,2,1,0,40.696835,-73.815153
550177,101 AV /131 ST,nyc,Bus,['Q08'],2,1,0,0,40.692751,-73.816049
550178,101 AV /133 ST,nyc,Bus,['Q08'],2,1,1,0,40.69323,-73.814375
